"income_band","inc_low","inc_high","inc_mid","age_band","age_band_key","members","pp3","pp4","pp6","pp8","pp10","ppn"
"$168,001 - $169,000",168001,169000,168500.5,"35-44","ks_35_44",850.104960199134,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"45-54","ks_45_54",818.439093441759,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"55-64","ks_55_64",585.026151531641,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$168,001 - $169,000",168001,169000,168500.5,"65+","ks_65p",104.598815056274,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"25-34","ks_25_34",280.459887728274,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"35-44","ks_35_44",783.242772318303,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"45-54","ks_45_54",818.439093441759,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"55-64","ks_55_64",645.249431836369,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$169,001 - $170,000",169001,170000,169500.5,"65+","ks_65p",96.7539039270533,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"25-34","ks_25_34",289.224259219783,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"35-44","ks_35_44",869.2084424508,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"45-54","ks_45_54",809.543016339131,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"55-64","ks_55_64",610.836128805096,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$170,001 - $171,000",170001,171000,170500.5,"65+","ks_65p",91.5239631742396,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"25-34","ks_25_34",245.40240176224,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"35-44","ks_35_44",792.794513444136,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"45-54","ks_45_54",782.854785031248,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"55-64","ks_55_64",559.216174258186,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$171,001 - $172,000",171001,172000,171500.5,"65+","ks_65p",88.9089927978328,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"18-24","ks_18_24",8.59486210936817,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"25-34","ks_25_34",280.459887728274,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"35-44","ks_35_44",745.035807814971,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"45-54","ks_45_54",756.166553723364,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"55-64","ks_55_64",585.026151531641,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$172,001 - $173,000",172001,173000,172500.5,"65+","ks_65p",109.828755809088,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
